affiliation_id,is_france,failed
60000905,True,
60001422,True,
60102126,True,
60031581,False,
60107779,False,
60108665,True,
60031011,True,
60072688,False,
60068952,True,
60123660,True,
60105769,True,
60106276,True,
60019996,True,
60123796,True,
60104653,True,
60021525,True,
60001576,False,
131451517,True,
60108531,True,
60106017,True,
60103368,True,
60024025,False,
60000145,False,
60210174,True,
60103239,True,
60122672,True,
60004833,True,
60105545,True,
60010247,True,
60210087,True,
60210253,True,
60107177,True,
121645756,True,
60102127,True,
60018601,True,
60018139,True,
60120544,True,
60072294,False,
60006475,False,
60004158,True,
60106891,True,
60025735,True,
60003335,True,
130919836,True,
60111633,False,
113760467,True,
60031810,True,
60138763,True,
60108488,True,
60021944,False,
60091504,False,
106761737,True,
60280862,False,
60032006,True,
60011447,True,
60010297,True,
60032922,True,
60023578,True,
60000485,True,
60004603,True,
60106137,True,
60022039,True,
60030553,True,
60103933,False,
60110453,False,
120502369,True,
100753424,True,
60000958,False,
121995148,True,
109959554,True,
60117841,False,
60025272,False,
60070321,False,
60031335,False,
60159370,True,
60010715,True,
60001780,True,
60210263,True,
60029689,True,
60016605,False,
60027245,True,
60015622,True,
60120341,True,
60139055,True,
114207075,True,
60029937,True,
60023773,False,
125139461,True,
60138276,True,
60003003,False,
60108202,True,
60015023,False,
60008905,True,
60021073,True,
60104665,True,
60106075,True,
60138752,True,
60030964,True,
60027946,True,
60078566,False,
60009647,True,
123807849,True,
60030657,True,
60091684,False,
122961244,False,
60008134,True,
60111652,True,
60102125,True,
60001881,False,
60024610,True,
60009364,True,
60007816,True,
60106218,True,
60031135,False,
60115431,False,
60014309,True,
60104923,True,
60004981,True,
60105589,True,
60012519,False,
60000179,True,
60106129,True,
60020304,False,
60024960,True,
60022498,False,
60112430,True,
60019983,False,
60014304,False,
60005667,True,
60017281,True,
60210189,True,
60105669,True,
60020623,False,
60108138,False,
60070644,False,
60198716,True,
60012355,True,
60083821,True,
60032653,True,
60002810,True,
114311471,True,
60029873,True,
60032215,True,
60031062,True,
60004718,False,
60073345,True,
60104363,True,
60000874,False,
60158037,True,
60118095,True,
60027386,True,
60108294,True,
60069303,False,
60108308,True,
60011520,False,
60026051,False,
60112049,True,
60021564,True,
60000964,False,
60030236,True,
60068946,True,
60206650,True,
60005896,False,
60031773,True,
60101350,True,
60032619,False,
60079127,False,
60021199,False,
60017186,True,
60027679,True,
60085092,True,
60119214,True,
60024132,False,
60013425,True,
60007562,False,
60271173,True,
60011024,True,
60018868,True,
112867101,True,
60029457,False,
60121963,True,
60210122,True,
60000765,False,
60013373,True,
114282988,True,
60112026,True,
60024199,True,
60042547,False,
127648130,True,
60112090,True,
60027381,True,
60022175,False,
60005899,True,
60106808,True,
60100533,False,
60017161,False,
112611315,True,
60000292,True,
60009848,True,
130390744,False,
60086201,False,
60060060,False,
60029616,False,
60103052,True,
113137002,True,
60159336,True,
60072962,True,
60210190,True,
60009445,True,
60105548,True,
101650627,True,
60000999,True,
113679382,True,
60016097,True,
112575339,True,
118206987,False,
126395312,True,
60023736,True,
60107838,True,
60020124,True,
60028048,True,
60106859,True,
124469706,True,
60010758,False,
60029170,False,
60031218,True,
60106031,True,
100715809,False,
115216751,True,
60104289,True,
60105092,True,
60072777,False,
60138535,True,
60018038,False,
60106247,True,
60015368,True,
60025238,True,
60017724,True,
60107834,True,
60110689,True,
60030857,True,
60134716,True,
60012357,True,
60108194,True,
60025066,True,
60019394,True,
60003362,True,
60105844,False,
60000239,False,
60025988,False,
60122683,True,
60106085,True,
60032350,False,
101589587,True,
60026314,True,
60011039,False,
60012570,True,
60026221,True,
60007671,True,
114243972,True,
60032144,False,
60004093,False,
60350143,True,
60000377,True,
60012587,True,
60021260,True,
60109424,True,
60030713,True,
60070475,True,
60069769,True,
60105477,True,
60016253,True,
60002900,True,
121573199,True,
60108331,True,
122244028,True,
60001754,False,
60003674,True,
60109171,True,
60123776,True,
60138746,True,
60021963,True,
60008800,True,
60108154,True,
60009885,False,
60028893,True,
60019904,True,
60258352,False,
128744018,True,
60020540,True,
60108532,True,
60020547,False,
124893695,True,
60007224,True,
60032640,True,
60108310,True,
60106100,True,
60269385,True,
60032785,True,
100898312,True,
60107062,True,
60210106,True,
60012537,True,
60017338,True,
60006736,True,
60110693,True,
60107039,True,
60004797,True,
60020606,True,
60028993,True,
60028218,False,
60108264,True,
60014039,False,
60104776,True,
122143593,True,
60014153,False,
60028229,False,
60112770,True,
131506849,True,
60106216,True,
60007136,True,
60109562,True,
60003729,True,
60122685,True,
118505484,True,
60108252,True,
60159358,True,
60070318,False,
60018178,True,
60017438,True,
60106086,True,
117963160,True,
100576539,True,
119945971,True,
112867654,True,
60004765,True,
60111782,True,
60010513,True,
60105784,True,
129536937,True,
60000937,False,
60001620,False,
60031625,True,
60279840,True,
60070928,False,
60001772,True,
60011439,True,
60108299,True,
60031500,True,
60015522,False,
112895096,True,
107033691,True,
60019839,True,
60021567,True,
60021374,True,
60123804,True,
112654938,True,
113756822,True,
60105638,True,
60108296,True,
60017354,True,
60123163,True,
60091646,False,
60032928,True,
60018464,True,
60101362,True,
60105597,True,
60005384,True,
122287133,True,
114014835,True,
60028629,False,
60028894,True,
60108306,True,
60030409,True,
60003434,True,
60193405,True,
60004636,False,
60007823,True,
60277275,False,
60108274,True,
60011371,False,
60209625,True,
60104274,True,
60029877,True,
60022689,False,
60107168,True,
60008055,True,
60027856,False,
60017954,False,
130559353,False,True
60009037,False,
60070473,True,
60014254,True,
60108501,True,
60116091,True,
60210104,True,
116494843,True,
119936336,True,
60019778,False,
60103671,True,
60106346,True,
60108253,True,
60209628,True,
60116488,True,
60105607,True,
60106183,True,
60016638,True,
60122763,True,
60107157,True,
60002272,True,
116370343,False,
60013183,False,
60009507,False,
126364366,True,
120392494,True,
100580553,False,
60210214,True,
124425335,True,
60105093,True,
60122760,True,
60073338,True,
60026113,True,
60013430,True,
60105623,True,
60030640,True,
60105741,True,
60008447,True,
60209342,True,
60138560,True,
60105599,True,
115961913,True,
60032530,True,
60005851,True,
125326857,True,
60097774,True,
60105621,True,
128910336,True,
60071359,False,
60019163,True,
60023970,True,
126802903,True,
60105587,True,
60001574,False,
60012772,True,
116061274,True,
60025397,True,
60010942,True,
60023712,True,
60028311,True,
60022785,True,
60123665,True,
60111169,True,
60031101,False,
60019417,True,
60005400,False,
60003858,False,
60012051,True,
60158106,True,
60026877,True,
60018491,False,
60022148,False,
60208831,True,
60004018,True,
60105539,True,
60001604,False,
60017689,True,
60122704,True,
60002636,False,
60013592,False,
60138792,True,
60105636,True,
101424165,True,
60030208,True,
60030318,False,
60055732,True,
60210184,True,
60105591,True,
60013046,True,
60029631,True,
127752724,True,
60139041,True,
60024144,True,
60110835,True,
60107797,True,
60073336,True,
60102124,True,
60068746,False,
60274778,True,
120214359,True,
130646947,True,
60022132,False,
60007853,True,
60009278,True,
60106119,True,
60007493,False,
60275033,True,
60010850,True,
60103630,False,
60112030,True,
60117278,True,
118247775,True,
60108313,True,
60030052,True,
60273362,False,
60001478,False,
60007512,False,
60110505,True,
131426146,True,
60108011,False,
60106351,True,
60033500,True,
60027331,True,
60008590,True,
133346760,False,True
60110715,True,
60108550,True,
60108497,True,
60083820,True,
60083827,True,
60029257,False,
60001970,True,
60022956,False,
60022927,False,
60108335,True,
60105793,True,
60106791,True,
60029741,True,
60026610,False,
60020966,True,
60116880,True,
60108250,True,
60028186,False,
60271369,True,
60105097,True,
60015028,True,
60138791,True,
60210099,True,
60027550,False,
60108987,True,
60004689,True,
60027863,False,
60105516,True,
60032633,True,
60106838,True,
60015481,False,
60110695,True,
60015339,True,
60159371,True,
60123629,True,
60009051,True,
60000130,False,
60001234,True,
60028952,True,
60110716,True,
60012464,False,
60011460,False,
60016300,False,
60032456,True,
60210154,True,
60019578,False,
60105611,True,
60028628,False,
60005952,True,
60105750,True,
60122684,True,
60130545,False,
60108285,True,
60110697,True,
113763917,True,
60021628,True,
60108314,True,
60012937,False,
60072948,True,
60106843,True,
60106847,True,
60033191,False,
60068825,False,
60107832,True,
60120535,True,
60032103,True,
60019762,True,
60105613,True,
120541422,True,
60108261,True,
60031394,True,
60021902,False,
60122453,True,
60108206,True,
60046714,True,
60072094,False,
60107873,True,
60139515,False,
60112046,True,
60106141,True,
60031206,True,
60108490,True,
60170371,True,
60122710,True,
108079205,True,
119614007,True,
60107823,True,
60009226,False,
113145865,True,
60071552,False,
60106344,True,
60002142,True,
117886848,True,
60106336,True,
60001565,False,
60007809,False,
122919608,False,
60007102,False,
60112042,True,
60002062,True,
60209908,True,
114376775,True,
60019617,True,
60083963,True,
60024266,False,
60022675,True,
60022381,False,
60069447,False,
60025310,False,
60210139,True,
60106044,True,
60018308,False,
60105683,False,
60032442,False,
60029311,False,
128913521,False,True
60209626,True,
60072110,False,
60033039,True,
60104569,False,
60102594,True,
60029306,False,
60084012,True,
60087822,False,
60020773,True,
60136860,False,
60017694,True,
60157961,True,
60104932,True,
60032356,False,
60028945,True,
60277237,True,
60170332,True,
60029621,True,
130179101,True,
112360817,True,
119665068,True,
60016829,False,
60007155,False,
60014997,True,
118531999,True,
107222715,True,
60112428,True,
60010051,True,
113721614,True,
60013858,True,
60024007,False,
60019722,False,
60109404,True,
60004572,False,
60109296,False,
60023588,False,
60032545,True,
60105586,True,
60108496,True,
60017969,True,
60141284,False,
60025063,False,
60016418,False,
60033317,False,
60007457,False,
60105987,True,
60107782,True,
60025758,True,
60033284,False,
60183202,True,
60138422,True,
60073348,True,
60005353,False,
60009512,False,
60276635,True,
60026004,False,
60007174,False,
100424834,True,
60008924,True,
106447397,True,
60069774,True,
60024614,True,
60210266,True,
60028555,True,
60013756,False,
60108494,True,
128392030,True,
60104668,True,
60028899,True,
60113955,True,
102002265,True,
60014541,True,
60011226,False,
60136250,True,
115033644,True,
60013805,False,
60108759,False,
60000625,True,
60107130,True,
60012226,True,
60015489,True,
60030506,True,
60117541,True,
60105579,True,
60105742,True,
114726155,True,
60068774,False,
60025149,True,
60212215,False,
60083599,True,
121541937,True,
60014596,False,
60107813,True,
60084322,True,
60018163,False,
60105988,True,
60099059,True,
60002714,False,
60030285,True,
60020658,True,
60274812,True,
60028442,False,
60111262,True,
60002483,False,
60004256,False,
60038962,True,
60088885,False,
112831281,False,
60028469,False,
60123677,True,
129434663,True,
60031184,True,
60027811,False,
60038812,False,
60251039,True,
108639939,True,
60105571,True,
60104781,False,
60002746,False,
60045588,True,
60209945,True,
60011289,True,
60024574,False,
60072944,True,
60000953,False,
60192954,False,
60032991,False,
60105104,True,
60116332,True,
60111233,True,
60006380,True,
60026040,True,
60011832,False,
60086620,False,
60009907,True,
60068577,False,
60123781,True,
60170197,True,
60108214,True,
60019702,False,
60123784,True,
60111239,True,
60122667,True,
60027814,True,
60016809,False,
114167594,False,
100333604,True,
60000990,False,
60030526,False,
60015759,True,
60011116,False,
60004684,False,
60015135,True,
60122728,True,
60026124,False,
60108258,True,
60085942,False,
60084316,True,
60095887,False,
128159591,False,
60106792,True,
120720202,False,
60028690,True,
60024899,True,
60021501,False,
60031031,False,
60008758,True,
60109780,False,
60023857,False,
60017355,True,
60019513,True,
60099870,True,
127768159,False,
60012345,False,
60105581,True,
60070322,False,
60050038,False,
60020680,False,
60026851,False,
110815342,True,
60046283,False,
60293501,True,
60107094,True,
100814761,True,
60210176,True,
60000195,True,
60107864,True,
60105533,True,
60107210,False,
60024876,False,
60015205,False,
60106569,True,
60001359,False,
60022517,True,
60105433,False,
60068543,True,
60017798,False,
60195520,False,
60012964,False,
60020023,False,
60012018,False,
60108500,True,
60111781,True,
60108304,True,
60009951,False,
117822764,True,
60105761,True,
60017848,True,
60267366,True,
113064718,True,
60031594,True,
60017563,False,
60027373,False,
60007745,True,
60010578,True,
60006384,False,
60105704,False,
116363734,True,
109598345,False,
119730259,True,
60031259,False,
125165169,True,
60031216,False,
60030981,True,
60011394,False,
60005247,False,
126944531,True,
60021363,True,
60108523,True,
60022422,False,
60020129,True,
60005830,True,
60107416,True,
60123671,True,
60105605,True,
60020306,False,
60264766,True,
112625710,True,
60105646,True,
60139069,False,
60018617,True,
60112047,True,
60095091,False,
60271558,True,
60105489,True,
60019533,False,
60005049,True,
60033122,True,
60113167,True,
60045778,False,
60112781,True,
60065719,True,
60072021,False,
60206637,True,
60106840,True,
133112255,False,True
60353493,True,
60138536,True,
60071343,False,
60121256,False,
60123697,True,
60143898,False,
112065875,True,
60104405,True,
60070314,False,
60068631,False,
60000960,True,
60114783,True,
60004773,True,
60105606,True,
60021493,True,
60006222,False,
60107808,True,
60107144,True,
60013366,False,
60033423,True,
60015201,True,
60105670,True,
60105984,True,
60019715,False,
60069455,False,
60108289,True,
60009891,True,
100746315,True,
60109410,True,
100343249,True,
60011675,True,
60024890,False,
60136209,True,
60122714,True,
60210150,True,
117159778,True,
60078009,False,
60001978,True,
60048669,True,
60008236,True,
60001340,False,
60101349,True,
60111134,False,
60020195,False,
60209212,True,
60079061,True,
60025525,False,
100543357,False,
60008310,True,
60070927,False,
60107071,True,
60000823,False,
100348052,True,
60109770,True,
118258256,True,
60020046,True,
115747587,True,
60022016,True,
60023504,True,
60108287,True,
60111570,False,
60068556,True,
60073613,False,
60122699,True,
119764333,True,
60000243,False,
100575109,True,
60027282,False,
60106296,True,
60007548,True,
60024324,False,
60017060,False,
112198552,True,
60018271,False,
60123695,True,
60021406,False,
60158029,True,
106415971,True,
60019987,False,
60068757,False,
60025070,True,
60031806,False,
60002494,False,
60027892,True,
122874809,True,
60108522,True,
60009466,False,
112105235,True,
60015150,False,
60070354,False,
60026651,True,
60030800,True,
60091164,False,
60108346,True,
60122709,True,
60008132,False,
113931198,False,
60246479,True,
123780766,False,
60027272,False,
60111768,False,
60013700,True,
60106842,True,
60014856,True,
60172381,True,
60072950,True,
60084005,True,
60008588,False,
60123828,True,
60029906,True,
60104201,True,
60006635,False,
60008088,False,
60112196,True,
60108347,True,
101560071,True,
115228915,True,
60122705,True,
128571719,False,
60108247,True,
60210124,True,
60107882,True,
60112048,True,
60105628,True,
60006662,True,
60092945,False,
60120231,False,
60349372,True,
60138539,True,
60087346,False,
60004676,True,
60108153,True,
60025332,True,
60025965,False,
60105517,True,
60060524,False,
60073342,True,
60110415,True,
129132715,False,
60271961,False,
126108089,True,
60058559,True,
100710681,True,
117844642,True,
60108303,True,
60023245,False,
60002441,False,
60024830,False,
122152787,False,
129431687,True,
60029852,False,
60123082,True,
60027509,False,
112508911,True,
60122681,True,
128342851,True,
60027466,True,
60105735,True,
115418638,True,
60107551,True,
60106371,False,
60138556,True,
60107036,True,
60107040,True,
60020383,True,
112979473,True,
60025861,True,
60031040,False,
112789344,True,
60000256,False,
60002525,True,
60134720,True,
60068765,False,
60022446,False,
60107158,True,
60000881,False,
60040012,True,
60123782,True,
60180342,False,
60008042,False,
109640028,True,
60209332,True,
60116071,True,
60073083,False,
112979084,True,
60120344,True,
123371718,True,
60106906,True,
60105777,True,
60068940,True,
113134501,True,
60109578,True,
60006317,True,
60107078,True,
60238510,False,
60209911,True,
60020551,True,
60210082,True,
100353005,True,
60022995,False,
60021859,False,
60007997,False,
60197895,True,
118643141,True,
60070933,False,
60070924,False,
60106111,True,
60105727,True,
60107045,True,
124496006,True,
60112379,True,
60112187,True,
60159352,True,
113892081,True,
60022376,True,
60068759,False,
60116671,True,
60091666,False,
60003800,True,
60007171,False,
60027363,False,
60003725,False,
114031806,False,
60250859,True,
60069298,False,
60112340,True,
60025746,False,
60070452,False,
60264714,False,
60106179,True,
60019626,True,
60025995,True,
60105767,True,
60021784,False,
60002014,False,
60006588,False,
123166130,False,
114634896,False,
60170432,False,
60116751,False,
60112307,True,
60210168,True,
131371194,False,
119048118,False,
60027031,True,
60027835,True,
60110511,True,
60064058,False,
60206661,True,
101155714,True,
60016476,False,
60108266,True,
101222791,True,
60029695,True,
60030032,True,
120437479,True,
126965816,True,
129542893,False,
60140949,False,
60015615,False,
60106096,True,
60029225,False,
60068673,False,
112662729,False,
60203638,False,
60031351,False,
60109269,True,
60003748,True,
60120343,True,
60068939,True,
60017697,False,
60083826,True,
126494286,True,
126732217,True,
60106803,True,
100499445,True,
119848985,True,
60016458,False,
128612773,True,
60120519,True,
60120767,True,
60106341,True,
116369822,True,
60108244,True,
60016992,True,
126290864,False,
60072104,False,
60105747,True,
60003977,False,
60069717,False,
60011549,False,
60107868,True,
60068750,False,
60029747,False,
114116261,True,
60009386,True,
60104199,False,
130621417,False,
129943557,False,
60019616,False,
60015103,False,
60016536,False,
113823266,True,
100416257,True,
120284923,True,
60126116,True,
60159967,False,
60105630,True,
60105766,True,
60269389,True,
102031717,True,
60111957,True,
60015772,False,
118452460,False,
60010028,True,
60072725,False,
60049947,False,
60017275,False,
60122451,True,
60107872,True,
60083082,False,
60021729,False,
60017609,False,
60112023,True,
117257653,False,
60023932,False,
60031777,False,
60051492,False,
60010146,False,
60106057,True,
60007895,False,
60025506,False,
60170370,True,
60108554,True,
60122693,True,
60005949,False,
118504919,True,
60281032,True,
60105525,True,
60019615,True,
60010447,True,
60025038,False,
60004130,True,
60017293,False,
60105651,True,
60123816,True,
60068569,True,
60028189,False,
60068740,False,
60002057,True,
60024646,True,
60106275,True,
120096580,False,
60027769,True,
60105604,True,
60120779,True,
60024245,True,
60158036,True,
60016067,True,
60209001,True,
60014923,False,
60006084,True,
60150705,False,
60016516,True,
60015159,False,
60014655,False,
116634319,True,
60026601,False,
113186162,True,
60027579,True,
60108166,True,
60103859,False,
60107831,True,
60264818,True,
60271773,True,
60005915,True,
60024682,True,
60019118,False,
60019499,False,
115238602,False,
60112029,True,
60025475,False,
60115595,False,
60026803,True,
112964678,True,
112661534,True,
60072943,True,
60030109,False,
121519972,True,
60009839,False,
60028897,False,
60111249,True,
60104109,True,
60023802,True,
126343774,True,
115440124,True,
60105099,True,
60105709,True,
60209913,True,
60072750,False,
60004954,False,
60110764,True,
60006577,False,
60119991,True,
60015197,False,
118283702,True,
60105232,False,
118343468,True,
60107869,True,
60072945,True,
60123679,True,
114608914,True,
60108187,True,
60026786,False,
60024208,False,
60025529,False,
60088527,False,
60110744,True,
113173161,True,
60024034,False,
60042311,False,
60105543,True,
123165448,True,
60028492,False,
60116560,False,
107065179,True,
60006283,True,
60007084,True,
60032385,True,
60021182,False,
60103653,False,
60013717,True,
60138430,True,
60012070,False,
60106219,True,
120394215,True,
60107836,True,
60023994,False,
100844857,False,
60020004,False,
60138793,True,
60106210,True,
60109902,True,
60106256,True,
60106185,True,
60159332,True,
60026282,False,
116880581,False,
60106700,True,
60122701,True,
60023137,False,
60009357,True,
60210256,True,
60107150,True,
60068564,True,
60058071,False,
60101844,True,
60032942,False,
60115730,False,
60016437,False,
60031699,False,
110285881,True,
60005499,False,
60069299,False,
60009708,False,
60363643,True,
60012278,True,
125823541,True,
60110513,True,
132085064,False,
60112303,True,
60112582,True,
60025017,False,
60001987,False,
60119905,True,
60014962,True,
60273350,False,
60069382,False,
60108122,False,
60011125,False,
60121600,True,
60111959,True,
60106220,True,
60017994,False,
131297293,True,
60032838,False,
60016361,True,
60028717,False,
60025858,False,
60012614,False,
60012162,False,
60363674,True,
60103776,False,
60012012,True,
60028634,True,
126414148,False,
60107032,True,
60105550,True,
60083602,True,
113935285,True,
60106295,True,
60002624,True,
60007723,True,
60018084,True,
60018108,True,
100427648,False,
60070882,False,
60003686,False,
117974916,False,
60072952,True,
60110756,True,
60086242,False,
60106807,True,
60027716,False,
101018904,True,
60085173,False,
60007109,True,
123894095,False,
60206581,True,
112835816,True,
127836415,True,
60120903,True,
60029681,False,
60109490,True,
123873198,True,
60006541,False,
60105758,True,
60105751,True,
60012138,False,
60007728,False,
126579488,True,
60003479,True,
60210101,True,
60027741,False,
60206573,True,
60005766,True,
60112197,True,
60276306,True,
60159930,True,
60068764,False,
60030035,False,
126495626,True,
60108527,True,
60010586,False,
60019160,False,
60087109,False,
114778285,True,
60014256,False,
60021666,False,
60007381,False,
60106986,True,
60014669,False,
60210152,True,
60251043,False,
60017041,False,
60119989,True,
60121906,True,
114825452,True,
113270207,False,
131664523,True,
60105795,True,
60070333,False,
60030119,True,
60106221,True,
60030835,False,
60170474,False,
60002798,False,
60027800,False,
60030807,False,
60015948,False,
60000832,True,
60002290,True,
127241312,True,
60007363,False,
60030364,False,
60059987,False,
60122782,True,
60027156,True,
60005645,True,
60264821,True,
121878659,True,
60000401,False,
60010953,False,
60008435,False,
101326469,True,
60108507,True,
60107228,False,
116836858,True,
60112341,True,
60031236,False,
60103234,True,
60129102,False,
129815170,False,
60106133,True,
60157977,True,
60122687,True,
60016471,False,
60107112,True,
60108513,True,
60009788,False,
60072712,False,
60070324,False,
60108211,True,
60122721,True,
60071014,False,
60104223,True,
60003161,False,
60127210,False,
60009755,True,
119840735,True,
60122386,True,
60025990,False,
60025278,False,
60004179,False,
60122098,False,
60105520,True,
60031264,True,
60031214,True,
60003258,False,
60107107,True,
60278992,True,
60070638,False,
60108260,True,
60089931,False,
114689445,True,
60026612,False,
60016147,False,
100588390,True,
60014849,True,
113046178,True,
118137538,True,
60114206,False,
60138538,True,
124532441,True,
60189156,True,
122470394,True,
60009686,True,
120183138,True,
60003668,False,
60009201,True,
60110967,True,
115099475,False,
115587110,True,
107146157,True,
60276156,True,
60107120,True,
60107047,True,
60210144,True,
60117425,False,
60136279,True,
108042787,True,
116544780,True,
115001199,True,
114064145,True,
60274827,True,
60126115,True,
128910610,True,
60025005,True,
60152345,False,
60027335,True,
60206572,True,
60079887,False,
60030612,False,
128354703,True,
60105502,True,
105624504,True,
60024805,False,
60123696,True,
